"Movie","Release Date","Distribution","Domestic","Inflation Domestic","International","Inflation International","Worldwide","Inflation Worldwide","Opening Weekend","Inflation Opening Weekend","Budget","Inflation Budget","Run Time","IMDb Score","Meta Score","Tomato Meter","Tomato Audience","Director","Franchise"
"Friday the 13th (1980)","5/9/1980","Paramount Pictures","39,754,601","155,619,311","20,000,000","78,289,962","59,754,601","233,909,273","5,816,321","22,767,978","550,000","2,152,974","95","6.4","22","66","60","Sean S. Cunningham","Friday the 13th"
"Friday the 13th Part 2","5/1/1981","Paramount Pictures","21,722,776","82,280,872","","","21,722,776","82,280,872","6,429,784","24,354,541","1,250,000","4,734,712","87","6.1","26","32","48","Steve Miner","Friday the 13th"
"Friday the 13th Part III","8/13/1982","Paramount Pictures","36,690,067","131,410,335","","","36,690,067","131,410,335","9,406,522","33,690,705","2,250,000","8,058,673","95","5.6","30","7","42","Steve Miner","Friday the 13th"
"Friday the 13th: The Final Chapter","4/13/1984","Paramount Pictures","32,980,880","103,359,721","837","2,623","32,981,717","103,362,344","11,183,148","35,047,187","2,600,000","8,148,214","91","6","33","24","51","Joseph Zito","Friday the 13th"
"Friday the 13th: A New Beginning","3/22/1985","Paramount Pictures","21,930,418","65,049,938","","","21,930,418","65,049,938","8,032,883","23,827,113","2,200,000","6,525,633","92","4.7","16","17","26","Danny Steinmann","Friday the 13th"
"Friday the 13th Part VI: Jason Lives","8/1/1986","Paramount Pictures","19,472,057","55,267,042","466","1,323","19,472,523","55,268,365","6,750,837","19,160,728","3,000,000","8,514,823","86","6","30","52","53","Tom McLoughlin","Friday the 13th"
"Friday the 13th Part VII: The New Blood","4/13/1988","Paramount Pictures","19,170,001","49,114,373","","","19,170,001","49,114,373","8,245,038","21,124,145","2,800,000","7,173,721","88","5.2","13","35","37","John Carl Buechler","Friday the 13th"
"Friday the 13th Part VIII: Jason Takes Manhattan","7/28/1989","Paramount Pictures","14,343,976","37,855,150","","","14,343,976","37,855,150","6,251,310","16,497,816","5,000,000","13,195,487","100","4.5","14","11","27","Rob Hedden","Friday the 13th"
"Jason Goes to Hell: The Final Friday","8/13/1993","New Line Cinema","15,935,068","40,530,497","","","15,935,068","40,530,497","7,552,190","19,208,830","3,000,000","7,630,434","87","4.1","17","15","24","Adam Marcus","Friday the 13th"
"Jason X","4/26/2002","New Line Cinema","13,121,555","23,781,405","3,830,243","6,941,903","16,951,798","30,723,308","6,649,006","12,050,607","14,000,000","25,373,492","92","4.4","25","19","25","James Isaac","Friday the 13th"
"Freddy vs. Jason","8/15/2003","New Line Cinema","82,622,655","144,281,344","31,953,748","55,799,825","114,576,403","200,081,169","36,428,066","63,613,186","25,000,000","43,656,714","97","5.7","37","42","50","Ronny Yu","Friday the 13th, A Nightmare on Elm Street"
"Friday the 13th (2009)","2/13/2009","Warner Bros. Pictures","65,002,019","91,262,836","27,668,218","38,846,179","92,670,237","130,109,015","40,570,365","56,960,793","17,000,000","23,868,000","97","5.5","34","25","47","Marcus Nispel","Friday the 13th"
"A Nightmare On Elm Street (1984)","11/9/1984","New Line Cinema","25,504,513","79,929,313","38,393","120,321","25,542,906","80,049,634","1,271,000","3,983,223","1,800,000","5,641,071","91","7.4","76","95","84","Wes Craven","A Nightmare On Elm Street"
"A Nightmare On Elm Street 2: Freddy's Revenge","11/1/1985","New Line Cinema","21,163,999","62,776,585","","","21,163,999","62,776,585","2,865,475","8,499,563","3,000,000","8,898,590","87","5.4","43","42","33","Jack Sholder","A Nightmare On Elm Street"
"A Nightmare On Elm Street 3: Dream Warriors","2/27/1987","New Line Cinema","79,929,313","120,632,386","","","79,929,313","120,632,386","8,880,555","13,402,874","5,000,000","7,546,192","96","6.6","49","68","68","Chuck Russell","A Nightmare On Elm Street"
"A Nightmare On Elm Street 4: The Dream Master","8/19/1988","New Line Cinema","49,369,899","126,487,834","","","49,369,899","126,487,834","12,833,403","32,879,738","13,000,000","33,306,567","93","5.6","56","55","43","Renny Harlin","A Nightmare On Elm Street"
"A Nightmare On Elm Street 5: The Dream Child","8/11/1989","New Line Cinema","22,168,359","58,504,459","","","22,168,359","58,504,459","8,115,176","21,416,740","6,000,000","15,834,585","89","5","54","30","31","Stephen Hopkins","A Nightmare On Elm Street"
"Freddy's Dead: The Final Nightmare","9/13/1991","New Line Cinema","34,872,033","87,221,496","","","34,872,033","87,221,496","12,966,525","32,431,711","5,000,000","12,505,938","89","4.7","39","22","32","Rachel Talalay","A Nightmare On Elm Street"
"Wes Craven's New Nightmare","10/14/1994","New Line Cinema","18,090,181","46,549,392","","","18,090,181","46,549,392","6,667,118","17,155,732","8,000,000","20,585,484","112","6.4","64","79","66","wes Craven","A Nightmare On Elm Street"
"A Nightmare On Elm Street (2010)","4/30/2010","Warner Bros. Pictures","63,075,011","84,179,958","54,654,607","72,942,080","117,729,618","157,122,038","32,902,299","43,911,433","35,000,000","46,711,027","95","5.2","35","14","43","Samuel Bayer","A Nightmare On Elm Street"
"Scream (1996)","12/20/1996","Dimension Films","103,046,663","239,853,793","69,999,977","162,933,563","173,046,640","402,787,356","6,354,586","14,791,081","15,000,000","34,914,346","111","7.4","66","81","80","Wes Craven","Scream"
"Scream 2","12/12/1997","Dimension Films","101,363,301","231,764,394","71,000,000","162,339,543","172,363,301","394,103,937","32,926,342","75,285,173","24,000,000","54,875,339","120","6.3","62","82","58","Wes Craven","Scream"
"Scream 3","2/4/2000","Dimension Films","89,138,076","174,141,728","72,700,000","142,028,011","161,838,076","316,169,739","34,713,342","67,816,601","40,000,000","78,144,710","116","5.6","56","41","38","Wes Craven","Scream"
"Scream 4","4/15/2011","Dimension Films","38,180,928","50,699,265","57,808,662","76,762,322","95,989,590","127,461,587","18,692,090","24,820,644","40,000,000","53,114,754","111","6.2","52","60","57","Wes Craven","Scream"
"Scream (2022)","1/14/2022","Paramount Pictures","81,641,405","81,641,407","57,233,384","57,233,385","138,874,789","138,874,792","30,018,805","30,018,806","24,000,000","24,000,001","114","6.3","60","76","82","Matt Bettinelli-Olpin, Tyler Gillett","Scream"
"Scream VI","3/10/2023","Paramount Pictures","108,391,107","108,391,107","60,672,743","60,672,743","169,063,850","169,063,850","44,447,270","44,447,270","35,000,000","35,000,000","122","6.5","61","76","91","Matt Bettinelli-Olpin, Tyler Gillett","Scream"
"Halloween (1978)","10/25/1978","Compass International Pictures","47,274,000","211,806,601","23,000,000","103,049,283","70,274,000","314,855,884","","","325,000","1,456,131","91","7.7","90","96","89","John Carpenter","Halloween"
"Halloween II (1981)","10/30/1981","Universal Pictures","25,533,818","96,716,218","","","25,533,818","96,716,218","7,676,836","29,078,086","2,500,000","9,469,424","92","6.5","40","33","63","Rick Rosenthal","Halloween"
"Halloween III: Season of the Witch","10/22/1982","Universal Pictures","14,400,000","51,575,508","","","14,400,000","51,575,508","6,333,259","22,683,406","2,500,000","8,954,081","98","5.1","50","50","28","Tommy Lee Wallace","Halloween"
"Halloween 4: The Return of Michael Myers","10/21/1988","Galaxy International Releasing","17,768,757","45,524,328","","","17,768,757","45,524,328","","","5,000,000","12,810,217","88","5.8","34","39","53","Dwight H. Little","Halloween"
"Halloween 5: The Revenge of Michael Myers","10/13/1989","Galaxy Releasing","11,642,254","30,725,045","","","11,642,254","30,725,045","5,093,428","13,442,054","6,000,000","15,834,586","96","4.9","28","12","36","Dominique Othenin-Girird","Halloween"
"Halloween: The Curse of Michael Myers","9/29/1995","Dimension Films","15,126,948","36,617,643","","","15,126,948","36,617,643","7,308,529","17,691,679","5,000,000","12,103,447","87","4.7","10","8","36","Joe Chappelle","Halloween"
"Halloween H20: 20 Years Later","8/5/1998","Dimension Films","55,041,738","123,579,848","","","55,041,738","123,579,848","16,187,724","36,344,718","17,000,000","38,168,443","86","5.8","52","54","49","Steve Miner","Halloween"
"Halloween: Resurrection","7/12/2002","Dimension Films","30,259,652","54,842,357","7,400,000","13,411,702","37,659,652","68,254,059","12,292,121","22,278,144","15,000,000","27,185,883","90","3.9","19","10","25","Rick Rosenthal","Halloween"
"Halloween (2007)","8/31/2007","The Weinstein Company, MGM Distribution Co. ","58,269,151","89,182,287","19,245,250","29,455,301","77,514,401","118,637,588","26,362,367","40,348,214","15,000,000","22,957,848","109","6","47","28","59","Rob Zombie","Halloween"
"Halloween II (2009)","8/28/2009","The Weinstein Company","33,392,973","46,883,730","5,119,877","7,188,307","38,512,850","54,072,037","16,349,565","22,954,787","15,000,000","21,059,998","105","4.8","35","25","44","Rob Zombie","Halloween"
"Halloween (2018)","10/19/2018","Universal Pictures","159,366,015","184,197,720","96,050,074","111,016,170","255,416,089","295,213,890","76,221,545","88,098,048","10,000,000","11,558,156","106","6.5","67","79","72","David Gordon Green","Halloween"
"Halloween Kills","10/15/2021","Universal Pictures","92,002,155","93,152,181","38,849,007","39,334,619","130,851,162","132,486,800","49,404,980","50,022,542","20,000,000","20,250,000","105","5.5","42","39","66","David Gordon Green","Halloween"
"Halloween Ends","10/14/2022","Universal Pictures","64,079,860","64,079,860","41,320,936","41,320,936","105,400,796","105,400,796","40,050,355","40,050,355","20,000,000","20,000,000","111","5","47","40","57","David Gordon Green","Halloween"
"Child's Play (1988)","11/9/1988","United Artists","33,244,684","85,521,564","10,952,000","28,173,893","44,196,684","113,695,457","6,583,963","16,937,168","9,000,000","23,152,396","87","6.7","58","74","65","Tom Holland","Child's Play"
"Child's Play 2","11/9/1990","Universal Pictures","26,904,572","67,133,910","7,262,000","18,120,580","34,166,572","85,254,490","10,718,520","26,745,497","13,000,000","32,438,384","84","5.9","37","40","52","John Lafia","Child's Play"
"Child's Play 3","8/30/1991","Universal Pictures","14,250,380","35,642,871","5,600,000","14,006,649","19,850,380","49,649,520","5,718,940","14,304,141","13,000,000","32,515,436","90","5.2","27","19","39","Jack Bender","Child's Play"
"Bride of Chucky","10/16/1998","Universal Pictures","32,404,188","72,753,960","18,288,000","41,060,261","50,692,188","113,814,221","11,830,855","26,562,664","25,000,000","56,130,059","89","5.6","48","48","50","Ronny Yu","Child's Play"
"Seed of Chucky","11/11/2004","Universal Pictures","17,016,190","28,853,537","7,700,000","13,056,521","24,716,190","41,910,058","8,774,520","14,878,533","29,000,000","49,173,909","87","4.9","46","34","42","Don Mancini","Child's Play"
"Child's Play (2019)","6/21/2019","United Artists","29,208,403","33,576,906","14,291,177","16,428,612","43,499,580","50,005,518","14,094,594","16,202,627","10,000,000","11,495,632","90","5.7","48","63","57","Lars Klevberg","Child's Play"
"The Texas Chainsaw Massacre (1974)","10/11/1974","Bryanston Distribution Company","26,572,439","137,709,694","722","3,742","26,573,161","137,713,436","","","140,000","725,540","83","7.4","90","89","82","Tobe Hooper","The Texas Chainsaw Massacre"
"The Texas Chainsaw Massacre 2","8/22/1986","Cannon Films","8,025,872","22,779,623","","","8,025,872","22,779,623","2,822,439","8,010,855","4,700,000","13,339,887","101","5.6","42","50","45","Tobe Hooper","The Texas Chainsaw Massacre"
"The Texas Chainsaw Massacre III","1/12/1990","New Line Cinema","5,697,588","14,216,964","","","5,697,588","14,216,964","1,114,000","2,779,720","2,000,000","4,990,520","85","5","30","13","31","Jeff Burr","The Texas Chainsaw Massacre"
"Texas Chainsaw Massacre: The Next Generation","3/12/1995","Columbia Pictures","94,558","216,918","","","94,558","216,918","","","600,000","1,376,412","87","3.3","50","16","18","Kim Henkel","The Texas Chainsaw Massacre"
"The Texas Chainsaw Massacre (2003)","10/17/2003","New Line Cinema","80,571,655","140,694,584","27,395,664","47,838,431","107,967,319","188,533,015","28,094,014","49,057,893","9,000,000","15,715,840","98","6.2","38","37","58","Marcus Nispel","The Texas Chainsaw Massacre"
"The Texas Chainsaw Massacre: The Beginning","10/6/2006","New Line Cinema","39,517,763","63,530,080","11,000,000","17,683,969","50,517,763","81,214,049","18,508,228","29,754,448","16,000,000","25,722,136","91","5.8","30","15","53","Jonathan Liebesman","The Texas Chainsaw Massacre"
"Texas Chainsaw 3D","1/4/2013","Lionsgate","34,341,945","45,081,257","13,324,068","17,490,731","47,666,013","62,571,988","21,744,470","28,544,337","20,000,000","26,254,341","92","4.8","31","19","40","John Luessenhop","The Texas Chainsaw Massacre"
"Saw","10/29/2004","Lionsgate","55,968,727","94,571,815","47,911,300","80,956,971","103,880,027","175,528,786","18,276,468","30,882,224","1,200,000","2,027,671","103","7.6","46","50","84","James Wan","Saw"
"Saw II","10/28/2005","Lionsgate","87,025,093","142,959,703","65,900,000","108,256,643","152,925,093","251,216,346","31,725,652","52,117,035","5,000,000","8,213,706","93","6.6","40","37","59","Darren Lynn Bousman","Saw"
